Year,Aristeidae,Crangon crangon,Metapenaeus monoceros,Natantia,Palaemon adspersus,Palaemon serratus,Penaeus japonicus,Penaeus spp,Plesionika edwardsii,Plesionika martia,Total
1950,0,100,0,2500,0,0,0,0,0,0,2600
1951,0,100,0,2600,0,0,0,0,0,0,2700
1952,0,0,0,2600,0,0,0,0,0,0,2600
1953,0,200,0,2800,0,0,0,0,0,0,3000
1954,0,100,0,3500,0,0,0,0,0,0,3600
1955,0,100,0,3600,0,0,0,0,0,0,3700
1956,0,100,0,3700,0,0,0,0,0,0,3800
1957,0,100,0,6200,0,0,0,0,0,0,6300
1958,0,100,0,6100,0,0,0,0,0,0,6200
1959,0,100,0,5800,0,0,0,0,0,0,5900
1960,0,100,0,6500,0,0,0,0,0,0,6600
1961,0,100,0,8700,0,0,0,0,0,0,8800
1962,0,300,0,8200,0,0,0,0,0,0,8500
1963,0,200,0,8300,0,0,0,0,0,0,8500
1964,0,200,0,8000,0,0,0,0,0,0,8200
1965,0,200,0,6000,0,0,0,0,0,0,6200
1966,0,300,0,4400,0,0,0,0,0,0,4700
1967,0,400,0,5000,0,0,0,0,0,0,5400
1968,0,500,0,3400,0,100,0,0,0,0,4000
1969,0,300,0,2300,0,0,0,0,0,0,2600
1970,0,96,0,982,0,0,0,0,0,0,1078
1971,0,212,0,959,0,0,0,0,0,0,1171
1972,0,87,0,2665,0,2,0,0,0,0,2754
1973,0,68,0,2633,0,4,0,0,0,0,2705
1974,0,838,0,2328,0,3,0,0,0,0,3169
1975,0,504,0,1808,0,97,0,0,0,0,2409
1976,0,1127,0,2164,0,3,0,0,0,0,3294
1977,0,143,0,1742,0,10,0,0,0,0,1895
1978,0,525,0,2174,0,0,0,0,0,0,2699
1979,0,628,0,2798,0,0,0,0,0,0,3426
1980,0,141,0,3254,0,0,0,0,0,0,3395
1981,0,163,0,3165,0,1,0,0,0,0,3329
1982,0,300,0,3024,0,1,0,0,0,0,3325
1983,0,200,0,6802,0,4,0,0,0,0,7006
1984,0,193,0,7884,0,1,0,0,0,0,8078
1985,0,333,0,9509,0,5,0,0,0,0,9847
1986,0,333,0,6838,0,0,0,0,0,0,7171
1987,0,436,0,8684,0,4,0,0,0,0,9124
1988,0,389,0,10217,0,5,0,0,0,0,10611
1989,0,397,0,13313,0,6,0,0,0,0,13716
1990,0,338,0,11332,0,1,0,0,0,0,11671
1991,0,312,0,7664,0,1,0,0,0,0,7977
1992,0,305,0,8685,0,1,0,0,0,0,8991
1993,0,277,0,10563,0,5,0,0,0,0,10845
1994,0,250,0,10023,0,0,0,0,0,0,10273
1995,2551,230,0,8879,0,37,0,0,0,0,11697
1996,2258,222,0,7955,0,40,0,0,0,0,10475
1997,2406,150,0,10148,0,35,84,0,0,0,12823
1998,1231,100,0,10848,0,89,0,0,0,0,12268
1999,2128,87,0,10540,0,9,0,0,0,0,12764
2000,4463,0,0,8851,0,0,0,0,0,0,13314
2001,1833,4,757,8711,0,0,121,0,0,0,11426
2002,1768,139,1607,11324,0,97,111,0,0,0,15046
2003,2409,88,2078,10918,0,26,98,0,0,0,15617
2004,1546,39,2582,10841,0,0,10,0,0,0,15018
2005,3174,120,1564,11888,0,23,105,0,0,0,16874
2006,3623,113,1325,9234,0,15,34,0,0,0,14344
2007,3207,99,1111,7780,0,11,61,0,23,0,12292
2008,2423,82,69,14574,0,31,101,0,37,0,17317
2009,2957,128,477,14925,0,22,141,7,58,0,18715
2010,3231,135,258,14707,33,16,229,2,83,5,18699
2011,2906,156,509,15494,34,17,4,5,27,7,19159
2012,3050,136,301,11713,63,13,156,3,80,10,15525
2013,3406,87,335,9950,124,13,52,1,100,10,14078
2014,2838,25,935,11333,124,15,52,1,75,10,15408
2015,0,45,1516,11030,243,21,52,2,98,20,13027
2016,0,48.11,1278,11147,550,96,16,5,115,17,13272.11
2017,0,58.31,480,12732,808,42,13,6,58,25,14222.31
2018,0,21,309,8421,517,8,13,0,455,29,9773
