"","variable","year","mean","sd","lower","upper"
"1","b_t",1996,17587.3485019397,11581.6247585136,8458.03587928258,36045.7064281189
"2","b_t",1997,16434.8572480918,13568.555824921,6850.21728515574,36020.5120279315
"3","b_t",1998,12276.6146068638,9758.15208675174,5214.11018573156,26790.9806204802
"4","b_t",1999,16240.4456723094,12491.8443718275,6711.12989063279,37028.8419055966
"5","b_t",2000,23282.7435235264,18206.8104908881,9212.08495199005,55113.9027990541
"6","b_t",2001,14607.9177643774,11840.9284708847,5534.82757633126,32543.3409077581
"7","b_t",2002,14477.0451644545,11142.2421768715,5765.17796460887,31787.15190363
"8","b_t",2003,15875.6926579055,12735.0896102018,6390.11662021213,35607.9410868972
"9","b_t",2004,14726.2137910731,11855.5858893804,5959.75035676122,32024.3616126242
"10","b_t",2005,19990.3851597688,15217.7403883917,8359.28447360838,44193.0790744324
"11","b_t",2006,21687.3841363772,18613.4344365573,8838.51070667863,49329.3351484488
"12","b_t",2007,17838.6214710813,14189.5196881005,7421.8994534883,39124.2436710545
"13","b_t",2008,16549.9792355527,13519.3765947405,6584.44317290205,35747.9596513027
"14","b_t",2009,18262.9453926103,14783.737208816,7532.51127635449,40021.5386251947
"15","b_t",2010,17822.6212724365,14152.2544615084,7412.2904616524,39834.9623284658
"16","b_t",2011,17374.2052155477,13217.2935345267,7220.02610276723,38704.9542869327
"17","b_t",2012,18275.1706332852,15033.7609734233,7565.14710596132,40737.5222132417
"18","b_t",2013,17064.0265222337,13572.2269643313,7061.8446031935,39337.1083990196
"19","b_t",2014,11554.3705402325,8471.44789050471,5248.59511431869,23530.0484517525
"20","bmsy",1996,12366.6702821575,7804.18493127509,6326.3879651703,24664.7407984939
"21","ck",1996,0.111455282004767,0.0414652798217843,0.0457738443159648,0.178458863677815
"22","ck",1997,0.118760588354061,0.044183110385834,0.0487740785758243,0.190155901686813
"23","ck",1998,0.0607623791620321,0.0226057393536831,0.0249546511749126,0.0972909039802437
"24","ck",1999,0.105038458860117,0.0390779962182272,0.0431385034120342,0.168184438399641
"25","ck",2000,0.220294474573639,0.0819572824821184,0.0904732804172502,0.352728923203759
"26","ck",2001,0.0904772063395652,0.0336606988101553,0.0371583067454223,0.144869396422248
"27","ck",2002,0.0872687947672402,0.0324670570083767,0.0358406362934569,0.139732183783161
"28","ck",2003,0.118908668888168,0.044238201545916,0.0488348941351458,0.190393003808617
