"","variable","year","mean","sd","lower","upper"
"1","b_t",2002,31236.1925525318,69206.2268817881,5535.26635136158,96908.7414936945
"2","b_t",2003,38199.7023898013,99292.5381201503,5463.5025661572,119122.248511979
"3","b_t",2004,41672.3442928728,105528.768580441,5374.29759131248,134247.397523512
"4","b_t",2005,31032.4364990975,85010.4716305543,3720.6336722252,99527.2340758063
"5","b_t",2006,24627.962313898,80553.513751925,2596.96902730703,77015.0446460155
"6","b_t",2007,13004.616091441,37941.2108117615,1347.13414152323,43421.5172724523
"7","b_t",2008,4621.90202942852,12623.5165089064,497.378557450908,15694.7230816716
"8","b_t",2009,6617.49866574033,18368.8504375577,858.041152343956,20526.7894310524
"9","b_t",2010,6013.10651511257,16411.3966730145,730.317013297589,20950.2120276543
"10","b_t",2011,7877.90424404904,27130.09307203,947.82711065829,24951.5468455328
"11","b_t",2012,7502.50835377124,21073.5425954618,932.215546709133,24076.8553528309
"12","b_t",2013,9062.28259550308,23166.5327930958,1213.761999185,29559.9068910068
"13","b_t",2014,16016.931611177,44560.3890015568,2112.72931257172,51310.7467323316
"14","b_t",2015,21084.2460833943,56953.9001584023,2874.23069753518,65466.4660333803
"15","b_t",2016,21556.3261589183,56716.4891417179,2185.20343027679,72935.9956748922
"16","b_t",2017,19912.4062659997,59230.2349382919,1774.01373286037,65880.762245545
"17","b_t",2018,13991.3350560408,30758.6796433984,2313.41282181393,44073.7676450388
"18","bmsy",2002,20680.61813514,44273.717479668,3752.90211647214,65510.3187933509
"19","ck",2002,0.0984997197842484,0.0656521451759178,0.0122652434010477,0.21410098459281
"20","ck",2003,0.127369270511306,0.0848943109368745,0.0158600969429852,0.276852424383235
"21","ck",2004,0.158261528614144,0.105484653916752,0.0197068192044214,0.344000461865983
"22","ck",2005,0.0958640707794428,0.0638954294058093,0.0119370508271554,0.20837208456948
"23","ck",2006,0.0812147658457555,0.0541313580324151,0.0101129107071489,0.176530058858415
"24","ck",2007,0.0680978149846297,0.0453886330369911,0.00847958022312634,0.148018788974867
"25","ck",2008,0.00422929724026953,0.00281891600319747,0.000526634595315678,0.00919288608394764
"26","ck",2009,0.029237315704472,0.0194872888916694,0.0036406478545736,0.0635508211890294
"27","ck",2010,0.0158138940288339,0.0105402946206514,0.00196915544335427,0.0343734001399782
"28","ck",2011,0.0311987289173506,0.0207946122554712,0.00388488418863304,0.0678141886482515
"29","ck",2012,0.0184495430336396,0.01229701039076,0.00229734801724665,0.0401023001633078
"30","ck",2013,0.0205335445723231,0.0136860414647993,0.00255684912218481,0.0446321280887313
"31","ck",2014,0.0573100423137973,0.0381983545360816,0.0071362803857994,0.124570267949146
"32","ck",2015,0.0929219509601248,0.0619344443601067,0.0115706963260662,0.201977033380647
"33","ck",2016,0.0783339401893401,0.0522112268418314,0.00975418859149907,0.170268237902683
"34","ck",2017,0.0294211981931794,0.0196098504570259,0.00366354501089167,0.0639505118883315
"35","ck",2018,0.0189398963368592,0.0126238412317104,0.00235840710076151,0.0411681420281134
"36","crashed",2002,0,0,0,0
"37","delta",2002,100,0,100,100
"38","dep_t",2002,0.751196498401068,0.0730606839831041,0.637435582199219,0.872959098719893
"39","dep_t",2003,0.885078373515754,0.317745848038148,0.471207998932749,1.47092365483773
"40","dep_t",2004,0.932835168746753,0.385410937560234,0.430106803894675,1.66653259046284
"41","dep_t",2005,0.670406382375237,0.323199458042125,0.288973605004288,1.26558248330468
"42","dep_t",2006,0.493770193531673,0.27973229109061,0.199003196363435,1.01814428626781
"43","dep_t",2007,0.265479908908665,0.156319441214783,0.107600566363838,0.530894474544568
"44","dep_t",2008,0.0973757254484124,0.0555974814251538,0.0395428135805639,0.198898175769154
"45","dep_t",2009,0.14657234107582,0.0762657508877964,0.0632439341291874,0.275360111830848
"46","dep_t",2010,0.133672036076818,0.0757022134424725,0.0528283867035329,0.268547315318821
"47","dep_t",2011,0.170562641581082,0.0969470423910951,0.0704319579044555,0.336567142301454
"48","dep_t",2012,0.164776204609021,0.097019344040191,0.0698044341860861,0.325640926437521
"49","dep_t",2013,0.202797102639826,0.106519666390962,0.0870353066739219,0.394501406994643
"50","dep_t",2014,0.354353365912645,0.185317824558436,0.153951778722297,0.685638973565761
"51","dep_t",2015,0.480399987826506,0.247606313254612,0.210096140878519,0.915645461989252
"52","dep_t",2016,0.47787411480726,0.322846696638595,0.175608426501015,1.05346309917821
"53","dep_t",2017,0.420940573040921,0.286582243385941,0.160899358710855,0.927281057928972
"54","dep_t",2018,0.335237933589407,0.0586774667174997,0.25083465678547,0.435645557971597
"55","growth_t",2002,0.113569144134671,0.0329323736211781,0.0612749442286288,0.166841468486542
"56","growth_t",2003,0.00341846748784111,0.221796028770972,-0.41169540831753,0.173903825422799
"57","growth_t",2004,-0.0515103662779263,0.318229057640098,-0.674529601841542,0.171073064915328
"58","growth_t",2005,0.0753343965124282,0.181505110161454,-0.211203501174994,0.189440494972647
"59","growth_t",2006,0.106172141546612,0.137319365008559,-0.00974633926823744,0.187168574628045
"60","growth_t",2007,0.106467363904398,0.0487323890534066,0.053102684732191,0.170554664632096
"61","growth_t",2008,0.0524938636115101,0.0278542626991828,0.0175023070740429,0.106768119726188
"62","growth_t",2009,0.0742282139793047,0.0313801439490135,0.0340944157962459,0.132507832869496
"63","growth_t",2010,0.0685637679040736,0.0312512179402976,0.0288344473185091,0.125622876898633
"64","growth_t",2011,0.0824795498063456,0.0345567838928735,0.0370192987192075,0.142695749712501
"65","growth_t",2012,0.0799029549933794,0.034173699661985,0.0358446381594469,0.14079236806164
"66","growth_t",2013,0.0938890443951904,0.0363485884487508,0.0451125520482886,0.158687696843036
"67","growth_t",2014,0.121374451412223,0.0665161929165835,0.0664372690988442,0.181525009742166
"68","growth_t",2015,0.117331714071858,0.115570529182073,0.0461665247880589,0.186488955153022
"69","growth_t",2016,0.0906146645041031,0.19016074518918,-0.0343053480194057,0.184627196929308
"70","growth_t",2017,0.100144188223425,0.153116525766487,0.0380201083174299,0.177861737488336
"71","growth_t",2018,0.137007666630146,0.0283520743905946,0.0959536283471087,0.186519218679662
"72","index_hat_t",2002,31236.1925525318,69206.2268817881,5535.26635136158,96908.7414936945
"73","index_hat_t",2003,38199.7023898013,99292.5381201503,5463.5025661572,119122.248511979
"74","index_hat_t",2004,41672.3442928728,105528.768580441,5374.29759131248,134247.397523512
"75","index_hat_t",2005,31032.4364990975,85010.4716305543,3720.6336722252,99527.2340758063
"76","index_hat_t",2006,24627.962313898,80553.513751925,2596.96902730703,77015.0446460155
"77","index_hat_t",2007,13004.616091441,37941.2108117615,1347.13414152323,43421.5172724523
"78","index_hat_t",2008,4621.90202942852,12623.5165089064,497.378557450908,15694.7230816716
"79","index_hat_t",2009,6617.49866574033,18368.8504375577,858.041152343956,20526.7894310524
"80","index_hat_t",2010,6013.10651511257,16411.3966730145,730.317013297589,20950.2120276543
"81","index_hat_t",2011,7877.90424404904,27130.09307203,947.82711065829,24951.5468455328
"82","index_hat_t",2012,7502.50835377124,21073.5425954618,932.215546709133,24076.8553528309
"83","index_hat_t",2013,9062.28259550308,23166.5327930958,1213.761999185,29559.9068910068
"84","index_hat_t",2014,16016.931611177,44560.3890015568,2112.72931257172,51310.7467323316
"85","index_hat_t",2015,21084.2460833943,56953.9001584023,2874.23069753518,65466.4660333803
"86","index_hat_t",2016,21556.3261589183,56716.4891417179,2185.20343027679,72935.9956748922
"87","index_hat_t",2017,19912.4062659997,59230.2349382919,1774.01373286037,65880.762245545
"88","index_hat_t",2018,13991.3350560408,30758.6796433984,2313.41282181393,44073.7676450388
"89","k",2002,41361.2362702799,88547.434959336,7505.80423294427,131020.637586702
"90","log_b",2002,9.72792837602431,0.935690517088445,8.61889490948717,11.4815242992577
"91","log_b",2003,9.83371938090212,1.00004349107332,8.60584535760864,11.6879024320735
"92","log_b",2004,9.86614752374872,1.05090621033535,8.58938313979289,11.8074313291361
"93","log_b",2005,9.51262760182872,1.09015581754433,8.22164859121491,11.5081850837917
"94","log_b",2006,9.18153591529004,1.13103990970524,7.86210025321921,11.2517543154251
"95","log_b",2007,8.55782944128165,1.13627246894215,7.205734707345,10.6787103566312
"96","log_b",2008,7.55518858012648,1.12980136722787,6.20935134549387,9.66107975574417
"97","log_b",2009,7.98372269506976,1.06043221305123,6.75465125023435,9.92946935935271
"98","log_b",2010,7.87843857780616,1.08248786313235,6.59347867617097,9.94990398051148
