"","variable","year","mean","sd","lower","upper"
"1","b_t",2008,1058.66216442039,2057.74874560636,253.793177593363,2968.39835818789
"2","b_t",2009,1187.42872715756,2928.1116787582,249.655610902559,3465.38477450665
"3","b_t",2010,1228.02093049675,2223.71833937273,237.457046530364,3629.26649131626
"4","b_t",2011,868.384175250218,1988.20080007456,163.927724859736,2558.08815653283
"5","b_t",2012,1341.91443605085,2922.1595563079,275.473165814422,3811.15764019683
"6","b_t",2013,1538.04286334289,3007.34679726795,310.361818615703,4332.27265577029
"7","b_t",2014,1393.54038892311,2907.98676181839,275.144259773741,3891.83972582423
"8","b_t",2015,1497.04222420752,3629.05805944821,284.800368247454,4174.00766167469
"9","b_t",2016,1173.45437980461,3677.62001315152,195.94096169362,3539.18981101312
"10","b_t",2017,855.043056203752,2189.34322833908,129.976781634646,2703.10330535453
"11","b_t",2018,550.432925364031,1313.562466157,118.312205798291,1563.95068534748
"12","bmsy",2008,732.807885927676,1583.64258640552,183.078616836088,1985.09897818928
"13","ck",2008,0.0495375778216971,0.0298230906792543,0.00931943875088735,0.101049485296811
"14","ck",2009,0.0776535003691468,0.0467497097134256,0.0146088499338234,0.158401895870677
"15","ck",2010,0.111124836735158,0.0669004466588676,0.0209057680087473,0.22667857512528
"16","ck",2011,0.0361490432752925,0.0217627959010774,0.00680067152091779,0.0737388135949705
"17","ck",2012,0.107108276371237,0.0644823582254146,0.0201501378397564,0.218485373614727
"18","ck",2013,0.133885345464046,0.0806029477817683,0.0251876722996955,0.273106717018409
"19","ck",2014,0.100414009098035,0.0604522108363262,0.0188907542247717,0.204830037763807
"20","ck",2015,0.131207638554765,0.0789908888261329,0.0246839188537016,0.267644582678041
"21","ck",2016,0.153968147283653,0.0926933899490335,0.0289658231446499,0.314072724571171
"22","ck",2017,0.0776535003691468,0.0467497097134256,0.0146088499338234,0.158401895870677
"23","ck",2018,0.60917832186141,0.366743412407046,0.114603908963615,1.24263556243376
"24","crashed",2008,0,0,0,0
"25","delta",2008,100,0,100,100
"26","dep_t",2008,0.720633618854313,0.0735199831116822,0.611932375268401,0.844858609758227
"27","dep_t",2009,0.798840899520194,0.213207008535338,0.503026714603172,1.17131494835907
"28","dep_t",2010,0.826691793780635,0.259594009845932,0.483263928189822,1.29901191108823
"29","dep_t",2011,0.564123203758099,0.157455223601416,0.348778948279333,0.830271463165689
"30","dep_t",2012,0.883808634395619,0.239586612075186,0.53792158442569,1.29308688747296
"31","dep_t",2013,1.02469167860382,0.271398623539546,0.626321467927694,1.50476543199922
"32","dep_t",2014,0.914684207039906,0.242743212424091,0.561382278730896,1.32902986535473
"33","dep_t",2015,0.964963169800569,0.274014702803233,0.573215461414367,1.44712948477035
"34","dep_t",2016,0.730367183903973,0.326603163366603,0.390463904278548,1.32024052564178
"35","dep_t",2017,0.519073794417647,0.279062026525089,0.263815182761259,0.950956349278542
"36","dep_t",2018,0.36380867852714,0.0622965755508438,0.270761652091923,0.473181000069846
"37","growth_t",2008,0.132474539821984,0.0349005535828083,0.0784282830377141,0.18639573387687
"38","growth_t",2009,0.0782386321218299,0.119344338521641,-0.137446495419064,0.190926685014317
"39","growth_t",2010,0.0483183322165805,0.183926596730963,-0.244887281181824,0.190552656759892
"40","growth_t",2011,0.150421804253967,0.0526115299070205,0.0852982470703315,0.219360850896104
"41","growth_t",2012,0.0313994799144627,0.157825809957993,-0.251446372236854,0.177808330442635
"42","growth_t",2013,-0.064283320968462,0.221843749042786,-0.510826119680192,0.15785479484363
"43","growth_t",2014,0.0145027874950643,0.167809624482559,-0.29271487568361,0.177492696138971
"44","growth_t",2015,-0.028392014801664,0.228669930975798,-0.442258402759046,0.16885942362284
"45","growth_t",2016,0.0573249968760897,0.277718715395439,-0.305440169806631,0.204126526989695
"46","growth_t",2017,0.111077665667162,0.211908277339688,0.0307794464267816,0.208671642927996
"47","growth_t",2018,0.154074437688134,0.0322863291850997,0.107624652135996,0.210586733058194
"48","index_hat_t",2008,1058.66216442039,2057.74874560636,253.793177593363,2968.39835818789
"49","index_hat_t",2009,1187.42872715756,2928.1116787582,249.655610902559,3465.38477450665
"50","index_hat_t",2010,1228.02093049675,2223.71833937273,237.457046530364,3629.26649131626
"51","index_hat_t",2011,868.384175250218,1988.20080007456,163.927724859736,2558.08815653283
"52","index_hat_t",2012,1341.91443605085,2922.1595563079,275.473165814422,3811.15764019683
"53","index_hat_t",2013,1538.04286334289,3007.34679726795,310.361818615703,4332.27265577029
"54","index_hat_t",2014,1393.54038892311,2907.98676181839,275.144259773741,3891.83972582423
"55","index_hat_t",2015,1497.04222420752,3629.05805944821,284.800368247454,4174.00766167469
"56","index_hat_t",2016,1173.45437980461,3677.62001315152,195.94096169362,3539.18981101312
"57","index_hat_t",2017,855.043056203752,2189.34322833908,129.976781634646,2703.10330535453
"58","index_hat_t",2018,550.432925364031,1313.562466157,118.312205798291,1563.95068534748
"59","k",2008,1465.61577185535,3167.28517281104,366.157233672176,3970.19795637856
"60","log_b",2008,6.52633467054392,0.805945429400355,5.53651935224521,7.99577647454614
"61","log_b",2009,6.599540049977,0.841546367358857,5.52008231561385,8.15057894781147
